start	end	text
554000	557000	Producing software that never existed before.
557000	559000	It is a brand new category.
559000	561000	It took share from nothing.
561000	563000	It's a brand new category.
563000	569000	And the way you produce the software is unlike anything we've ever done before.
569000	581000	In data centers, generating tokens, producing floating point numbers at very large scale.
581000	586000	As if in the beginning of this last industrial revolution,
586000	593000	When people realized that you would set up factories, apply energy to it.
593000	597000	And this invisible valuable thing called electricity came out.
597000	599000	AC generators.
599000	606000	And 100 years later, 200 years later, we are now creating new types of electrons.
607000	609000	Tokens.
609000	612000	Using infrastructure we call factories, AI factories,
612000	618000	To generate this new incredibly valuable thing called artificial intelligence.
618000	621000	A new industry has emerged.
621000	626000	Well, we're going to talk about many things about this new industry.
626000	629000	We're going to talk about how we're going to do computing next.
629000	634000	We're going to talk about the type of software that you build because of this new industry.
634000	636000	The new software.
636000	638000	How you would think about this new software.
638000	642000	What about applications in this new industry?
642000	644000	And then maybe what's next?
644000	649000	And how can we start preparing today for what is about to come next?
649000	656000	Well, but before I start, I want to show you the soul of NVIDIA.
656000	658000	The soul of our company.
658000	667000	At the intersection of computer graphics, physics, and artificial intelligence,
667000	677000	all intersecting inside a computer, in Omniverse, in a virtual world simulation.
677000	682000	Everything we're going to show you today, literally everything we're going to show you today,
682000	686000	is a simulation, not animation.
686000	688000	It's only beautiful because it's physics.
688000	690000	The world is beautiful.
690000	694000	It's only amazing because it's being animated with robotics.
694000	697000	It's being animated with artificial intelligence.
697000	704000	What you're about to see all day is completely generated, completely simulated in Omniverse.
704000	712000	And all of it, what you're about to enjoy is the world's first concert where everything is homemade.
712000	719000	Everything is homemade.
719000	722000	You're about to watch some home videos.
722000	725000	So sit back and enjoy yourself.
742000	747000	The World of NVIDIA
772000	782000	The World of NVIDIA
802000	812000	The World of NVIDIA
812000	823000	The World of NVIDIA
824000	833000	The World of NVIDIA
833000	842000	The World of NVIDIA
842000	852000	The World of NVIDIA
852000	862000	The World of NVIDIA
862000	872000	The World of NVIDIA
872000	882000	The World of NVIDIA
882000	890000	The World of NVIDIA
890000	896000	God, I love NVIDIA.
896000	901000	Accelerated computing has reached the tipping point.
901000	904000	General purpose computing has run out of steam.
904000	909000	We need another way of doing computing so that we can continue to scale,
909000	912000	so that we can continue to drive down the cost of computing,
912000	918000	so that we can continue to consume more and more computing while being sustainable.
918000	924000	Accelerated computing is a dramatic speed up over general purpose computing.
924000	929000	And in every single industry we engage, and I'll show you many,
929000	932000	the impact is dramatic.
932000	936000	But in no industry is it more important than our own.
936000	942000	The industry of using simulation tools to create products.
942000	946000	In this industry, it is not about driving down the cost of computing,
946000	949000	it's about driving up the scale of computing.
949000	953000	We would like to be able to simulate the entire product that we do,
953000	958000	completely in full fidelity, completely digitally,
958000	961000	and essentially what we call digital twins.
961000	969000	We would like to design it, build it, simulate it, operate it, completely digitally.
969000	974000	In order to do that, we need to accelerate an entire industry.
974000	980000	And today, I would like to announce that we have some partners who are joining us in this journey
980000	983000	to accelerate their entire ecosystem,
983000	988000	so that we can bring the world into accelerated computing.
988000	990000	But there's a bonus.
990000	996000	When you become accelerated, your infrastructure is Cuda GPUs.
996000	1002000	And when that happens, it's exactly the same infrastructure for generative AI.
1002000	1008000	And so I'm just delighted to announce several very important partnerships.
1008000	1010000	There are some of the most important companies in the world.
1010000	1014000	Ansys does engineering simulation for what the world makes.
1014000	1018000	We're partnering with them to Cuda accelerate the Ansys ecosystem,
1018000	1022000	to connect Ansys to the omniverse digital twin.
1022000	1024000	Incredible.
1024000	1029000	The thing that's really great is that the install base of video GPU accelerated systems are all over the world,
1029000	1033000	in every cloud, in every system, all over enterprises.
1033000	1038000	And so the applications they accelerate will have a giant install base to go serve.
1038000	1041000	End users will have amazing applications.
1041000	1046000	And of course, system makers and CSPs will have great customer demand.
1046000	1048000	Synopsys.
1048000	1054000	Synopsys is NVIDIA's literally first software partner.
1054000	1056000	They were there on the very first day of our company.
1056000	1060000	Synopsys revolutionized the chip industry with high-level design.
1060000	1064000	We are going to Cuda accelerate Synopsys.
1064000	1071000	We're accelerating computational lithography, one of the most important applications that nobody's ever known about.
1071000	1075000	In order to make chips, we have to push lithography to a limit.
1075000	1082000	NVIDIA has created a library, a domain-specific library, that accelerates computational lithography.
1082000	1084000	Incredibly.
1084000	1093000	Once we can accelerate and software-define all of TSMC, who is announcing today that they're going to go into production with NVIDIA CULIFO,
1093000	1105000	once the software defined and accelerated, the next step is to apply generative AI to the future of semiconductor manufacturing, pushing geometry even further.
1105000	1110000	Cadence builds the world's essential EDA and SDA tools.
1110000	1111000	We also use cadence.
1111000	1116000	Between these three companies, Ansys, Synopsys and Cadence, we basically build NVIDIA.
1116000	1120000	Together, we are Cuda accelerating Cadence.
1120000	1131000	They're also building a supercomputer out of NVIDIA GPUs so that their customers could do fluid dynamic simulation at a hundred, a thousand times scale.
1131000	1135000	Basically, a wind tunnel in real time.
1135000	1139000	Cadence Millennium, a supercomputer with NVIDIA GPUs inside.
1139000	1141000	A software company building supercomputers.
1141000	1142000	I love seeing that.
1142000	1145000	Building Cadence co-pilots together.
1145000	1161000	Imagine a day when Cadence, Synopsys, Ansys tool providers would offer you AI co-pilots so that we have thousands and thousands of co-pilot assistants helping us design chips, design systems.
1161000	1166000	And we're also going to connect Cadence Digital Twin Platform to Omniverse.
1166000	1176000	As you can see the trend here, we're accelerating the world's CAE, EDA and SDA so that we could create our future in digital twins.
1176000	1183000	And we're going to connect them all to Omniverse, the fundamental operating system for future digital twins.
1183000	1192000	One of the industries that benefited tremendously from scale, and you know, you all know this one very well, large language models.
1192000	1202000	Basically, after the transformer was invented, we were able to scale large language models at incredible rates, effectively doubling every six months.
1202000	1212000	Now, how is it possible that by doubling every six months that we have grown the industry, we have grown the computational requirements so far?
1212000	1214000	And the reason for that is quite simply this.
1214000	1220000	If you double the size of the model, you double the size of your brain, you need twice as much information to go fill it.
1220000	1230000	And so every time you double your parameter count, you also have to appropriately increase your training token count.
1230000	1237000	The combination of those two numbers becomes the computation scale you have to support.
1237000	1243000	The latest, the state-of-the-art OpenAI model is approximately 1.8 trillion parameters.
1243000	1250000	1.8 trillion parameters required several trillion tokens to go train.
1250000	1257000	So a few trillion parameters on the order of a few trillion tokens on the order of when you multiply the two of them together,
1257000	1267000	approximately 30, 40, 50 billion quadrillion floating point operations per second.
1267000	1269000	Now, we just have to do some CO math right now.
1269000	1270000	Just hang with me.
1270000	1273000	So you have 30 billion quadrillion.
1273000	1276000	A quadrillion is like a PETA.
1276000	1286000	And so if you had a PETA flop GPU, you would need 30 billion seconds to go compute, to go train that model.
1286000	1289000	30 billion seconds is approximately 1,000 years.
1290000	1299000	Well, 1,000 years, it's worth it.
1299000	1304000	I'd like to do it sooner, but it's worth it.
1304000	1308000	Which is usually my answer when most people tell me, hey, how long is it going to take to do something?
1308000	1313000	So we've got 20 years. It's worth it.
1313000	1318000	But can we do it next week?
1318000	1321000	And so 1,000 years, 1,000 years.
1321000	1327000	So what we need, what we need are bigger GPUs.
1327000	1329000	We need much, much bigger GPUs.
1329000	1336000	We recognized this early on, and we realized that the answer is to put a whole bunch of GPUs together.
1336000	1341000	And, of course, innovate a whole bunch of things along the way, like inventing tensor cores,
1341000	1346000	advancing MV links so that we could create essentially virtually giant GPUs,
1346000	1351000	and connecting them all together with amazing networks from a company called Mellanox,
1351000	1354000	InfiniBand, so that we could create these giant systems.
1354000	1358000	And so DGX1 was our first version, but it wasn't the last.
1358000	1362000	We built supercomputers all the way, all along the way.
1362000	1368000	In 2021, we had Selene, 4,500 GPUs or so.
1368000	1374000	And then in 2023, we built one of the largest AI supercomputers in the world.
1374000	1378000	It's just come online, EOS.
1378000	1383000	And as we're building these things, we're trying to help the world build these things.
1383000	1386000	And in order to help the world build these things, we got to build them first.
1386000	1392000	We build the chips, the systems, the networking, all of the software necessary to do this.
1392000	1394000	You should see these systems.
1394000	1398000	Imagine writing a piece of software that runs across the entire system,
1398000	1402000	distributing the computation across thousands of GPUs,
1402000	1410000	but inside are thousands of smaller GPUs, millions of GPUs to distribute work across all of that
1410000	1414000	and to balance the workload so that you can get the most energy efficiency,
1414000	1417000	the best computation time, keep your costs down.
1417000	1424000	And so those fundamental innovations is what got us here.
1424000	1431000	And here we are as we see the miracle of CHAT GPT emerge in front of us.
1431000	1435000	We also realize we have a long ways to go.
1435000	1438000	We need even larger models.
1438000	1442000	We're going to train it with multimodality data, not just text on the Internet,
1443000	1447000	but we're going to train it on text and images and graphs and charts.
1447000	1451000	And just as we learn, watching TV.
1451000	1457000	And so there's going to be a whole bunch of watching video so that these models can be grounded in physics,
1457000	1460000	understands that an arm doesn't go through a wall.
1460000	1466000	And so these models would have common sense by watching a lot of the world's video
1466000	1469000	combined with a lot of the world's languages.
1469000	1473000	It'll use things like synthetic data generation, just as you and I do.
1473000	1479000	When we try to learn, we might use our imagination to simulate how it's going to end up,
1479000	1482000	just as I did when I was preparing for this keynote.
1482000	1486000	I was simulating it all along the way.
1486000	1491000	I hope it's going to turn out as well as I had it in my head.
1491000	1495000	As I was simulating how this keynote was going to turn out,
1495000	1504000	somebody did say that another performer did her performance completely on a treadmill
1504000	1508000	so that she could be in shape to deliver it with full energy.
1508000	1512000	I didn't do that.
1512000	1516000	If I get a little wind in about 10 minutes into this, you know what happens.
1517000	1523000	If I get a little wind in about 10 minutes into this, you know what happens.
1523000	1526000	And so where were we?
1526000	1528000	We're sitting here using synthetic data generation.
1528000	1530000	We're going to use reinforcement learning.
1530000	1532000	We're going to practice it in our mind.
1532000	1538000	We're going to have AI working with AI training each other, just like student, teacher, debaters.
1538000	1540000	All of that is going to increase the size of our model.
1540000	1543000	It's going to increase the amount of data that we have,
1543000	1547000	and we're going to have to build even bigger GPUs.
1547000	1552000	Hopper is fantastic, but we need bigger GPUs.
1552000	1563000	And so, ladies and gentlemen, I would like to introduce you to a very, very big GPU.
1574000	1584000	Named after David Blackwell, mathematician, game theorist, probability.
1584000	1588000	We thought it was a perfect name.
1588000	1592000	Blackwell, ladies and gentlemen, enjoy this.
1603000	1605000	Thank you.
1633000	1635000	Thank you.
1663000	1665000	Thank you.
1693000	1695000	Thank you.
1723000	1751000	Blackwell is not a chip.
1751000	1753000	Blackwell is the name of a platform.
1753000	1761000	People think we make GPUs, and we do, but GPUs don't look the way they used to.
1761000	1768000	Here's, if you will, the heart of the Blackwell system,
1768000	1772000	and this inside the company is not called Blackwell, it's just a number.
1772000	1782000	And this, this is Blackwell sitting next to, oh, this is the most advanced GPU in the world in production today.
1786000	1788000	This is Hopper.
1788000	1790000	This is Hopper.
1790000	1792000	Hopper changed the world.
1792000	1794000	This is Blackwell.
1803000	1805000	It's okay, Hopper.
1811000	1813000	You're very good.
1813000	1815000	Good boy.
1815000	1817000	Well, good girl.
1821000	1830000	208 billion transistors, and so you could see, I can see, there's a small line between two dyes.
1830000	1838000	This is the first time two dyes have abutted like this together in such a way that the two dyes think it's one chip.
1838000	1843000	There's 10 terabytes of data between it, 10 terabytes per second,
1843000	1849000	so that these two sides of the Blackwell chip have no clue which side they're on.
1849000	1853000	There's no memory locality issues, no cache issues.
1853000	1855000	It's just one giant chip.
1855000	1864000	And so when we were told that Blackwell's ambitions were beyond the limits of physics, the engineers said, so what?
1864000	1866000	And so this is what happened.
1866000	1872000	And so this is the Blackwell chip, and it goes into two types of systems.
1872000	1878000	The first one is form-fit function compatible to Hopper.
1878000	1881000	And so you slide on Hopper, and you push in Blackwell.
1881000	1885000	That's the reason why one of the challenges of ramping is going to be so efficient.
1885000	1892000	There are installations of Hoppers all over the world, and they could be the same infrastructure, same design.
1892000	1899000	The power, the electricity, the thermals, the software, identical, push it right back.
1899000	1906000	And so this is a Hopper version for the current HGX configuration.
1906000	1910000	And this is what the second Hopper looks like this.
1910000	1912000	Now, this is a prototype board.
1912000	1917000	And Janine, could I just borrow?
1917000	1924000	Ladies and gentlemen, Janine Paul.
1924000	1928000	And so this is a fully functioning board.
1928000	1931000	And I'll just be careful here.
1931000	1940000	This right here is, I don't know, $10 billion?
1940000	1946000	The second one's five.
1946000	1954000	It gets cheaper after that, so any customers in the audience, it's OK.
1954000	1956000	All right, but this one's quite expensive.
1956000	1958000	This is the bring-up board.
1958000	1963000	And the way it's going to go to production is like this one here.
1963000	1965000	And so you're going to take this.
1965000	1974000	It has two Blackwell chips and four Blackwell dies connected to a Grace CPU.
1974000	1977000	The Grace CPU has a super-fast chip-to-chip link.
1977000	1987000	What's amazing is this computer is the first of its kind where this much computation, first of all, fits into this small of a place.
1987000	1989000	Second, it's memory coherent.
1989000	1995000	They feel like they're just one big happy family working on one application together.
1995000	1998000	And so everything is coherent within it.
1998000	2002000	Just the amount of, you know, you saw the numbers.
2002000	2005000	There's a lot of terabytes this and terabytes that.
2005000	2007000	But this is a miracle.
2007000	2009000	This is this.
2009000	2011000	Let's see, what are some of the things on here?
2012000	2025000	There's an MV link on top, PCI Express on the bottom, on your, which one is mine, and your left.
2025000	2027000	One of them, it doesn't matter.
2027000	2031000	One of them is a CPU chip-to-chip link.
2031000	2034000	It's my left or your, depending on which side.
2034000	2039000	I was trying to sort that out and I just kind of, it doesn't matter.
2042000	2045000	Hopefully it comes plugged in, so.
2050000	2054000	Okay, so this is the Grace Blackwell system.
2063000	2065000	But there's more.
2066000	2074000	So it turns out, it turns out all of the specs is fantastic, but we need a whole lot of new features.
2074000	2079000	In order to push the limits beyond, if you will, the limits of physics.
2079000	2083000	We would like to always get a lot more X-factors.
2083000	2087000	And so one of the things that we did was we invented another transformer engine.
2087000	2090000	Another transformer engine, the second generation.
2090000	2103000	It has the ability to dynamically and automatically rescale and recast numerical formats to a lower precision whenever it can.
2103000	2106000	Remember, artificial intelligence is about probability.
2106000	2114000	And so you kind of have, you know, 1.7, approximately 1.7 times approximately 1.4 to be approximately something else.
2114000	2115000	Does that make sense?
2115000	2126000	And so the ability for the mathematics to retain the precision and the range necessary in that particular stage of the pipeline, super important.
2126000	2131000	And so this is, it's not just about the fact that we designed a smaller ALU.
2131000	2133000	The world's not quite that simple.
2133000	2142000	You've got to figure out when you can use that across a computation that is thousands of GPUs.
2142000	2150000	It's running for weeks and weeks and weeks, and you want to make sure that the training job is going to converge.
2150000	2155000	And so this new transformer engine, we have a fifth generation NVLink.
2155000	2162000	It's now twice as fast as Hopper, but very importantly, it has computation in the network.
2162000	2169000	And the reason for that is because when you have so many different GPUs working together, we have to share our information with each other.
2169000	2171000	We have to synchronize and update each other.
2171000	2180000	And every so often, we have to reduce the partial products and then rebroadcast out the partial products, the sum of the partial products back to everybody else.
2180000	2184000	And so there's a lot of what is called all reduce and all to all and all gather.
2184000	2190000	It's all part of this area of synchronization and collectives so that we can have GPUs working with each other.
2190000	2200000	Having extraordinarily fast links and being able to do mathematics right in the network allows us to essentially amplify even further.
2200000	2205000	So even though it's one point eight terabytes per second, it's effectively higher than that.
2205000	2208000	And so it's many times that of Hopper.
2208000	2216000	The likelihood of a supercomputer running for weeks on end is approximately zero.
2216000	2221000	And the reason for that is because there's so many components working at the same time.
2221000	2226000	The statistic, the probability of them working continuously is very low.
2226000	2232000	And so we need to make sure that whenever there is a well, we checkpoint and restart as often as we can.
2232000	2244000	But if we have the ability to detect a weak chip or a weak note early, we can retire it and maybe swap in another processor.
2244000	2253000	That ability to keep the utilization of the supercomputer high, especially when you just spent two billion dollars building it, is super important.
2253000	2266000	And so we put in a RAS engine, a reliability engine that does a hundred percent self-test in system test of every single gate,
2266000	2274000	every single bit of memory on the Blackwell chip and all the memory that's connected to it.
2274000	2283000	It's almost as if we shipped with every single chip its own advanced tester that we test our chips with.
2283000	2286000	This is the first time we're doing this. Super excited about it.
2286000	2294000	Secure AI.
2294000	2298000	Only this conference do they clap for RAS.
2298000	2303000	The secure AI.
2303000	2308000	Obviously, you've just spent hundreds of millions of dollars creating a very important AI.
2308000	2314000	And the code, the intelligence of that AI is encoded into parameters.
2314000	2318000	You want to make sure that on the one hand, you don't lose it. On the other hand, it doesn't get contaminated.
2318000	2330000	And so we now have the ability to encrypt data, of course, at rest, but also in transit and while it's being computed.
2330000	2335000	It's all encrypted. And so we now have the ability to encrypt and transmission.
2335000	2342000	And when we're computing it, it is in a trusted, trusted environment, trusted engine environment.
2342000	2345000	And the last thing is decompression.
2345000	2352000	Moving data in and out of these nodes when the compute is so fast becomes really essential.
2352000	2361000	And so we've put in a high line speed compression engine and effectively moves data 20 times faster in and out of these computers.
2361000	2368000	These computers are so powerful and there's such a large investment, the last thing we want to do is have them be idle.
2368000	2378000	And so all of these capabilities are intended to keep Blackwell fed and as busy as possible.
2378000	2390000	Overall, compared to Hopper, it is two and a half times, two and a half times the FP8 performance for training per chip.
2390000	2397000	It also has this new format called FP6 so that even though the computation speed is the same,
2397000	2405000	the bandwidth that's amplified because of the memory, the amount of parameters you can store in the memory is now amplified.
2405000	2411000	FP4 effectively doubles the throughput. This is vitally important for inference.
2412000	2420000	One of the things that is becoming very clear is that whenever you use a computer with AI on the other side,
2420000	2429000	when you're chatting with the chatbot, when you're asking it to review or make an image,
2429000	2434000	remember in the back is a GPU generating tokens.
2434000	2440000	Some people call it inference, but it's more appropriately generation.
2440000	2445000	The way that computing has done in the past was retrieval.
2445000	2452000	You would grab your phone, you would touch something, some signals go off, basically an email goes off to some storage somewhere.
2452000	2458000	There's pre-recorded content, somebody wrote a story or somebody made an image or somebody recorded a video.
2458000	2468000	That record pre-recorded content is then streamed back to the phone and recomposed in a way based on a recommender system to present the information to you.
2468000	2475000	You know that in the future, the vast majority of that content will not be retrieved.
2475000	2480000	And the reason for that is because that was pre-recorded by somebody who doesn't understand the context,
2480000	2483000	which is the reason why we have to retrieve so much content.
2483000	2491000	If you can be working with an AI that understands the context, who you are, for what reason you're fetching this information,
2491000	2495000	and produces the information for you just the way you like it,
2495000	2504000	the amount of energy we save, the amount of networking bandwidth we save, the amount of waste of time we save will be tremendous.
2504000	2512000	The future is generative, which is the reason why we call it generative AI, which is the reason why this is a brand new industry.
2512000	2516000	The way we compute is fundamentally different.
2516000	2521000	We created a processor for the generative AI era.
2521000	2526000	And one of the most important parts of it is content token generation.
2526000	2529000	We call it, this format is FP4.
2529000	2534000	Well, that's a lot of computation.
2534000	2544000	5X, the token generation, 5X, the inference capability of Hopper seems like enough.
2544000	2549000	But why stop there?
2549000	2551000	The answer is it's not enough.
2551000	2553000	And I'm going to show you why.
2553000	2555000	I'm going to show you why.
2555000	2559000	And so we would like to have a bigger GPU, even bigger than this one.
2559000	2563000	And so we decided to scale it.
2563000	2566000	And notice, but first, let me just tell you how we've scaled.
2567000	2575000	Over the course of the last eight years, we've increased computation by 1,000 times, eight years, 1,000 times.
2575000	2583000	Remember, back in the good old days of Moore's Law, it was 2X, well, 5X every, what, 10X every five years.
2583000	2585000	That's easiest math.
2585000	2591000	10X every five years, 100 times every 10 years, 100 times every 10 years.
2592000	2601000	In the middle of the heydays of the PC revolution, 100 times every 10 years.
2601000	2605000	In the last eight years, we've gone 1,000 times.
2605000	2608000	We have two more years to go.
2608000	2614000	And so that puts it in perspective.
2614000	2617000	The rate at which we're advancing computing is insane.
2617000	2622000	And it's still not fast enough, so we built another chip.
2622000	2625000	This chip is just an incredible chip.
2625000	2628000	We call it the NVLink switch.
2628000	2630000	It's 50 billion transistors.
2630000	2633000	It's almost the size of Hopper all by itself.
2633000	2641000	This switch chip has four NVLinks in it, each 1.8 terabytes per second.
2641000	2646000	And it has computation in it, as I mentioned.
2646000	2649000	What is this chip for?
2649000	2660000	If we were to build such a chip, we can have every single GPU talk to every other GPU at full speed at the same time.
2660000	2662000	That's insane.
2669000	2672000	It doesn't even make sense.
2672000	2682000	But if you could do that, if you can find a way to do that and build a system to do that that's cost-effective,
2682000	2694000	how incredible would it be that we could have all these GPUs connect over a coherent link so that they effectively are one giant GPU?
2694000	2701000	Well, one of the great inventions in order to make it cost-effective is that this chip has to drive copper directly.
2701000	2707000	The surities of this chip is just a phenomenal invention so that we could do direct drive to copper.
2707000	2712000	And as a result, you can build a system that looks like this.
2721000	2726000	Now, this system is kind of insane.
2726000	2729000	This is one DGX.
2729000	2731000	This is what a DGX looks like now.
2731000	2738000	Remember, just six years ago, it was pretty heavy, but I was able to lift it.
2738000	2752000	I delivered the first DGX1 to OpenAI, and the researchers there, the pictures are on the internet, and we all autographed it.
2752000	2757000	And if you come to my office, it's autographed there.
2757000	2759000	It's really beautiful.
2759000	2761000	But you can lift it.
2761000	2769000	This DGX, this DGX, that DGX, by the way, was 170 teraflops.
2769000	2775000	If you're not familiar with the numbering system, that's 0.17 petaflops.
2775000	2778000	So this is 720.
2778000	2782000	The first one I delivered to OpenAI was 0.17.
2782000	2785000	You can round it up to 0.2. It won't make any difference.
2785000	2790000	But by then, it was like, wow, you know, 30 more teraflops.
2790000	2800000	And so this is now 720 petaflops, almost an exaflop for training, and the world's first one exaflops machine in one rack.
2801000	2815000	Just so you know, there are only a couple, two, three exaflops machines on the planet as we speak.
2815000	2821000	And so this is an exaflops AI system in one single rack.
2821000	2826000	Well, let's take a look at the back of it.
2826000	2829000	So this is what makes it possible.
2829000	2834000	That's the back, that's the back, the DGX MV link spine.
2834000	2841000	130 terabytes per second goes to the back of that chassis.
2841000	2844000	That is more than the aggregate bandwidth of the internet.
2854000	2858000	So we could basically send everything to everybody within a second.
2858000	2866000	And so we have 5,000 cables, 5,000 MV link cables in total two miles.
2866000	2872000	Now, this is the amazing thing. If we had to use optics, we would have had to use transceivers and retimers.
2872000	2885000	And those transceivers and retimers alone would have cost 20,000 watts, two kilowatts of just transceivers alone, just to drive the MV link spine.
2885000	2893000	As a result, we did it completely for free over MV link switch, and we were able to save the 20 kilowatts for computation.
2893000	2899000	This entire rack is 120 kilowatts, so that 20 kilowatts makes a huge difference.
2899000	2904000	It's liquid cooled. What goes in is 25 degrees C about room temperature.
2904000	2909000	What comes out is 45 degrees C about your jacuzzi.
2909000	2914000	So room temperature goes in, jacuzzi comes out, two liters per second.
2922000	2924000	We could sell a peripheral.
2924000	2932000	600,000 parts.
2932000	2939000	Somebody used to say, you know, you guys make GPUs, and we do, but this is what a GPU looks like to me.
2939000	2942000	When somebody says GPU, I see this.
2942000	2948000	Two years ago, when I saw a GPU, it was the HGX. It was 70 pounds, 35,000 parts.
2948000	2958000	Our GPUs now are 600,000 parts and 3,000 pounds, 3,000 pounds, 3,000 pounds.
2958000	2966000	That's kind of like the weight of a, you know, carbon fiber Ferrari.
2966000	2972000	I don't know if that's a useful metric, but everybody's going, I feel it.
2972000	2975000	I feel it. I get it. I get that.
2975000	2977000	Now that you mention that, I feel it.
2977000	2980000	I don't know what's 3,000 pounds.
2980000	2983000	Okay, so 3,000 pounds, ton and a half.
2983000	2986000	So it's not quite an elephant.
2986000	2988000	So this is what a DGX looks like.
2988000	2990000	Now let's see what it looks like in operation.
2990000	2994000	Okay, let's imagine, how do we put this to work and what does that mean?
2994000	3000000	Well, if you were to train a GPT model, 1.8 trillion parameter model,
3000000	3007000	it took about, apparently about three to five months or so with 25,000 amperes.
3007000	3011000	If we were to do it with Hopper, it would probably take something like 8,000 GPUs
3011000	3015000	and it would consume 15 megawatts, 8,000 GPUs and 15 megawatts.
3015000	3017000	It would take 90 days, about three months.
3017000	3024000	And that would allow you to train something that is, you know, this groundbreaking AI model.
3025000	3031000	And this is obviously not as expensive as anybody would think, but it's 8,000 GPUs.
3031000	3033000	It's still a lot of money.
3033000	3035000	And so 8,000 GPUs, 15 megawatts.
3035000	3042000	If you were to use Blackwell to do this, it would only take 2,000 GPUs.
